"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"ENSG00000008441.12",7.467605550083,7.77478705960117,7.76155123244448,8.55074678538324,10.2443638351205,10.9621730311097,7.66533591718518,6.82017896241519,8.88264304936184,7.98868468677217,9.2336196767597,9.41574176829009
"ENSG00000008516.12",9.89784545600551,11.6183855022586,13.6418259720418,12.7617589788688,11.7490313820402,12.6960981709559,13.2348174311173,10.5565060546719,11.5531492755985,13.233919208587,10.5887146355823,13.9646116184812
"ENSG00000008517.12",7.19967234483636,8.99435343685886,9.55266909751427,9.76652890859886,9.11113567023471,8.00562454919388,10.1573469353628,8.59245703726808,9.61286849729104,9.92481250360578,7.5077946401987,10.0701209444768
"ENSG00000008735.10",0,0,2,1.58496250072116,3,2.58496250072116,3,0,2.58496250072116,3.4594316186373,2,2.32192809488736
"ENSG00000008988.5",9.15987133677839,10.8328900141647,13.2265627165555,12.3165643853969,11.1873520732005,10.7210991887072,12.5038257379958,10.4878400338231,11.4382720561248,11.9384769386664,10.7431513941125,11.590587049915
"ENSG00000009694.9",5.8073549220576,8.97154355395077,7.97154355395077,7.61470984411521,7.65105169117893,6.35755200461808,9.64024493622235,6.16992500144231,7.74146698640115,9.38586240064146,7.65105169117893,9.94251450533924
"ENSG00000009844.11",6.20945336562895,8.39660478118186,9.30606168942834,9.31288295528435,8.39660478118186,8.18982455888002,9.40087943628218,7.45121111183233,8.76487159073609,9.39446269461032,7.467605550083,9.15987133677839
"ENSG00000010030.9",3.32192809488736,7.58496250072116,6.97727992349992,9.03617361255349,6.2667865406949,6.76818432477693,4,1,5.24792751344359,3.16992500144231,3.58496250072116,5.8073549220576
"ENSG00000010072.11",5.70043971814109,7.59991284218713,8.54303182025524,8.81698362325538,7.83289001416474,7.56985560833095,9.01959072835788,7.02236781302845,8.2336196767597,8.6582114827518,6.7279204545632,8.70043971814109
"ENSG00000010219.9",4.08746284125034,5.16992500144231,6.93073733756289,6.59991284218713,5.88264304936184,5.04439411935845,7.25738784269265,5.55458885167764,6.56985560833095,7.13955135239879,5.7279204545632,6.82017896241519
"ENSG00000010256.6",6.91886323727459,8.75488750216347,9.37068740680722,9.68650052718322,8.79766152585376,8.74146698640115,9.8008998999203,7.93663793900257,9.60917873814198,10.0647427647503,7.93073733756289,9.95710204156229
"ENSG00000010270.9",5.95419631038687,8.11894107272351,8.82654848729091,8.92777796208234,7.59991284218713,8.09275714091985,9.13699111208023,6.7279204545632,8.31288295528435,8.95419631038687,7.01122725542325,8.58120058192496
